,Station Name,Address  1,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select
212,PALOMA RIDGE / PALOMA BDG C #4,13620 Ranch Rd 620 N,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.477999, -97.77797",$4.17/month PIE members $2/hr Non-Members,40A
213,YETI RAMBLERS / EVSE4,7601 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.255936, -97.872345",$4.17/month PIE members $2/hr Non-Members,30A
214,PALOMA RIDGE / PALOMA BDG C #8,13620 N FM 620,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.47798, -97.77821",$4.17/month PIE members $2/hr Non-Members,40A
215,HPE AUSTIN / TXN04 B,14231 Tandem Blvd,Austin,Texas,78728,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.445485, -97.690128",$4.17/month PIE members $2/hr Non-Members,40A
216,COA FLEET - PIE / SPRING #2,800-816 Springdale Rd,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.259312, -97.699577",$4.17/month PIE members $2/hr Non-Members,40A
217,AVIATION / 1ST FLOOR R,3201 Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.204594, -97.669188",$4.17/month PIE members $2/hr Non-Members,40A
218,CZPROPERTIES / FLOOR 3 UNIT 3,1400 Lavaca St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.277017, -97.742705",$4.17/month PIE members $2/hr Non-Members,40A
219,SAS / STATION 2,12100 samsung blvd,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.377879, -97.639587",$4.17/month PIE members $2/hr Non-Members,40A
220,HIDAUSTIN / STATION 02,611 Center Ridge Dr,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.414361, -97.666176",$4.17/month PIE members $2/hr Non-Members,40A
221,WEINSTEIN / BEXLEY 1,2801 S Lakeline Blvd,Cedar Park,Texas,78613,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.473632, -97.809632",$4.17/month PIE members $2/hr Non-Members,40A
222,AVIATION / 3RD FLOOR,3201 Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,J1772,240V,J1772,"30.21292, -97.66631",$4.17/month PIE members $2/hr Non-Members,40A
223,PIE AE / PUB UTPICKLE2,Rd A,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Education,J1772,240V,J1772,"30.389602, -97.725084",$4.17/month PIE members $2/hr Non-Members,40A
224,SCHOOL / TRAVIS1,2430 S IH 35 Frontage Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Education,J1772,240V,J1772,"30.232148, -97.743892",$4.17/month PIE members $2/hr Non-Members,40A
225,BRANDYWINE AUST / FOUR POINTS 2,11120 4 Points Dr,Austin,Texas,78726,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.405365, -97.848098",$4.17/month PIE members $2/hr Non-Members,40A
226,LADERA BEND / GATED GARAGE GW,7300 Ranch Rd 2222,Austin,Texas,78730,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.372427, -97.801834",$4.17/month PIE members $2/hr Non-Members,40A
227,PIE AE / PUB CAMP MABRY1,Camp Mabry 1 Mile Track,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parking,NEMA 5-20R,240V,J1772,"30.316576, -97.757643",$4.17/month PIE members $2/hr Non-Members,40A
228,ROSCOE PROPERTI / TRIO MAIN,2413-2433 S Pleasant Valley Rd,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.228786, -97.726326",$4.17/month PIE members $2/hr Non-Members,40A
229,COA FLEET - PIE / RUTHERFORD #5,1520 Rutherford Ln,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.335863, -97.679329",$4.17/month PIE members $2/hr Non-Members,40A
230,PIE AE / PUBACCRIVERSID1,1230-1290 Grove Blvd,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.235093, -97.705194",$4.17/month PIE members $2/hr Non-Members,40A
231,DOMAIN / LEFT STATION,11501 Alterra Pkwy,Austin,Texas,78758,1,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,--,--,"30.401181, -97.719499",$4.17/month PIE members $2/hr Non-Members,40A
232,PIE-CAPRIDGE / #1,115 Wild Basin Rd,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.304182, -97.828161",$4.17/month PIE members $2/hr Non-Members,40A
233,ENDEAVOR REG / LEVEL 4 - #3,4301 Bull Creek Rd,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.317706, -97.754927",$4.17/month PIE members $2/hr Non-Members,40A
234,CHEVY MAIN / AUTONATION MAIN,11400 Research Blvd,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.409556, -97.745947",$4.17/month PIE members $2/hr Non-Members,40A
235,THE GROVE / MAIN STATION 1,3707 Manchaca Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.236473, -97.782607",$4.17/month PIE members $2/hr Non-Members,40A
236,PIE AE / PUBAISDBURGERC,3200 Jones Rd,Sunset Valley,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,NEMA 5-20R,240V,J1772,"30.228455, -97.809379",$4.17/month PIE members $2/hr Non-Members,40A
237,AUSTIN / 400 - 2,400 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.265052, -97.74844",$4.17/month PIE members $2/hr Non-Members,40A
238,COA FLEET - PIE / RUTHERFORD #4,1520 Rutherford Ln,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.337741, -97.680766",$4.17/month PIE members $2/hr Non-Members,40A
239,TIG REAL ESTATE / PIE-STATION 1,Frontage Rd,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,NEMA 5-20R,240V,J1772,"30.265768, -97.779681",$4.17/month PIE members $2/hr Non-Members,40A
240,HANOVER / L1,110 San Antonio St,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Multifamily Commercial,J1772,--,--,"30.265311, -97.74952",$4.17/month PIE members $2/hr Non-Members,40A
241,GALLERIA OAKS / GALLERIA OAKS 2,3927 Ranch Rd 620 S,Austin,Texas,78738,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.313186, -97.946482",$4.17/month PIE members $2/hr Non-Members,40A
242,COA FLEET - PIE / MEINARD #1,4393-4799 Meinardus Dr,Austin,Texas,78744,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.211361, -97.752083",$4.17/month PIE members $2/hr Non-Members,40A
243,PIE AE / PUBACCSVSCTRST2,9101 Exchange Dr,Austin,Texas,78710,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.338568, -97.66223",$4.17/month PIE members $2/hr Non-Members,40A
244,PALOMA RIDGE / PALOMA BDG C #7,13620 N FM 620,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.477991, -97.77827",$4.17/month PIE members $2/hr Non-Members,40A
245,COA / DOA - CONRAC1,3819 Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Retail,J1772,240V,J1772,"30.204711, -97.666322",$4.17/month PIE members $2/hr Non-Members,30A
246,FLORA / STATION 2,5406 Middle Fiskville Rd,Austin,Texas,78751,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Multifamily Commercial,J1772,240V,J1772,"30.316818, -97.714835",$4.17/month PIE members $2/hr Non-Members,40A
247,DSMCUT / EVSE06 FLOOR L2,501-573 E 15th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Healthcare,J1772,240V,J1772,"30.275229, -97.734575",$4.17/month PIE members $2/hr Non-Members,40A
248,ENDEAVOR REG / 2500 BEE CAVES2,2500 Bee Caves Rd.,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.267346, -97.783448",$4.17/month PIE members $2/hr Non-Members,40A
249,GIBSON FLATS / STATION1,1219 S Lamar Blvd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.254007, -97.762023",$4.17/month PIE members $2/hr Non-Members,40A
250,PALOMA RIDGE / PALOMA BDG C #6,13620 N FM 620,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.477861, -97.7787",$4.17/month PIE members $2/hr Non-Members,40A
251,HPI 3700 / 3900 SC #2,3900 N Capital of Texas Hwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.337882, -97.807765",$4.17/month PIE members $2/hr Non-Members,40A
252,PIE AE / ZILKER PARK PH1,2201 William Barton Dr,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parks and Recreation,J1772,240V,J1772,"30.264456, -97.771382",$4.17/month PIE members $2/hr Non-Members,40A
253,CTM / CTM,1124 IH 35,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,J1772,240V,J1772,"30.244744, -97.735798",$4.17/month PIE members $2/hr Non-Members,40A
254,8611 MOPAC LLC / MOPAC 1,8611 Mopac Service Rd,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.373296, -97.739942",$4.17/month PIE members $2/hr Non-Members,40A
255,AMD GO GREEN / AMD P100 LG,7171 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.250807, -97.861761",$4.17/month PIE members $2/hr Non-Members,40A
256,DSMCUT / EVSE03 FLOOR L5,501-573 E 15th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Healthcare,J1772,240V,J1772,"30.275274, -97.734552",$4.17/month PIE members $2/hr Non-Members,40A
257,PIE AE / PUB-HEBCONGRESS,2400-2424 S Congress Ave,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.238689, -97.753858",$4.17/month PIE members $2/hr Non-Members,40A
258,FOUNDRY / STATION 2,310 Comal St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.261097, -97.727847",$4.17/month PIE members $2/hr Non-Members,40A
259,PIE AE / PUB ACC EVIEW1,3401 Webberville Rd,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.268116, -97.706104",$4.17/month PIE members $2/hr Non-Members,40A
260,CITY VIEW / STATION1,1250 S Capital of Texas Hwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.280698, -97.824024",$4.17/month PIE members $2/hr Non-Members,40A
261,NATIONAL INSTRU / 15&16;,11500 N Mopac Expy,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.408822, -97.725196",$4.17/month PIE members $2/hr Non-Members,40A
262,FLORA / STATION 1,5406 Middle Fiskville Rd,Austin,Texas,78751,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Multifamily Commercial,J1772,240V,J1772,"30.316671, -97.714957",$4.17/month PIE members $2/hr Non-Members,40A
263,RPP GARAGE / ISLAND GW,12301 Research Blvd,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.428017, -97.754379",$4.17/month PIE members $2/hr Non-Members,40A
264,PIE AE / RIO REMOVED SCA,1212 Rio Grande St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,NEMA 5-20R,240V,J1772,"30.277252, -97.747261",$4.17/month PIE members $2/hr Non-Members,40A
265,WALLERCREEKSIDE / CREEKSIDE1,102-104 E 50th St,Austin,Texas,78751,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,--,--,"30.315229, -97.724395",$4.17/month PIE members $2/hr Non-Members,40A
266,DOMAIN / RIGHT STATION,11501 Alterra Pkwy,Austin,Texas,78758,1,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,--,--,"30.401174, -97.719445",$4.17/month PIE members $2/hr Non-Members,40A
267,AUSTIN / 400 - 3,400 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.26505, -97.74849",$4.17/month PIE members $2/hr Non-Members,40A
268,ENDEAVOR REG / LEVEL 3 - #3,4301 Bull Creek Rd,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.317747, -97.755004",$4.17/month PIE members $2/hr Non-Members,40A
269,FROST / 3,515 Congress Ave,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.267548, -97.742316",$4.17/month PIE members $2/hr Non-Members,40A
270,COA / NEWCENTRALLIB3,710 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,J1772,240V,J1772,"30.266102, -97.751688",$4.17/month PIE members $2/hr Non-Members,40A
271,FOUNDATION COMM / JORDAN2,2724 Philomena St,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.298662, -97.694714",$4.17/month PIE members $2/hr Non-Members,40A
272,COA FLEET - PIE / ROOF5,612 E 9th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Municipal,J1772,240V,J1772,"30.269395, -97.735644",$4.17/month PIE members $2/hr Non-Members,40A
273,PIE AE / PUBGABLESPRESS1,1313 W 6th St,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.273141, -97.759947",$4.17/month PIE members $2/hr Non-Members,40A
274,AVIATION / 4TH FLOOR,3201 Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parks and Recreation,J1772,240V,J1772,"30.204614, -97.669503",$4.17/month PIE members $2/hr Non-Members,40A
275,RIDGE OFFICE / THE RIDGE GW,6805 Wood Hollow Dr,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.350591, -97.754534",$4.17/month PIE members $2/hr Non-Members,40A
276,MONOGRAM / PARKING 2-3,615 W 7th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.270562, -97.748959",$4.17/month PIE members $2/hr Non-Members,40A
277,ROSCOE PROPERTI / CURRENT MAIN,2057-2105 Willow Creek Dr,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.231758, -97.729473",$4.17/month PIE members $2/hr Non-Members,40A
278,COA FLEET - PIE / RUTHERFORD #2,1520 Rutherford Ln,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.335873, -97.679359",$4.17/month PIE members $2/hr Non-Members,40A
279,PIE AE / TACARASR1,4901 Ranch Rd 620 N,Austin,Texas,78732,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.385777, -97.886769",$4.17/month PIE members $2/hr Non-Members,40A
280,PIE AE / ANIMAL SERVICE5,7201 lavender loop,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.251587, -97.690788",$4.17/month PIE members $2/hr Non-Members,40A
281,THE SANTAL / SANTAL1,7624 Tecoma Circle,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.259641, -97.859784",$4.17/month PIE members $2/hr Non-Members,40A
282,RIALTO / STATION1,7500 Rialto Blvd,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.254075, -97.870716",$4.17/month PIE members $2/hr Non-Members,40A
283,INT-BIO EV CHGR / INTBIO EV CHGR1,8206 Cross Park Dr,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.33089, -97.668908",$4.17/month PIE members $2/hr Non-Members,40A
284,PIE AE / SMART CHARGE 2,2016 Centimeter Cir,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.381493, -97.713361",$4.17/month PIE members $2/hr Non-Members,40A
285,MONOGRAM / HANDICAP,615 W 7th St,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,--,--,"30.270571, -97.748993",$4.17/month PIE members $2/hr Non-Members,40A
286,CHAMPION OFFICE / EV #2,6433 Champion Grandview Way,Austin,Texas,78750,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.3632, -97.793703",$4.17/month PIE members $2/hr Non-Members,40A
287,YETI RAMBLERS / EVSE #3,7601 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.255741, -97.872431",$4.17/month PIE members $2/hr Non-Members,40A
288,PARK&ZOOM / VALET #6,9518 Hotel Dr,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.211848, -97.662017",$4.17/month PIE members $2/hr Non-Members,40A
289,AMD GO GREEN / P100 FL4 OUTER,7171 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.250779, -97.86175",$4.17/month PIE members $2/hr Non-Members,40A
290,PIE AE / TLC STATI0N 2,721 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.258333, -97.75191",$4.17/month PIE members $2/hr Non-Members,40A
291,ENCINO STATIONS / STATION 2,5707 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.243719, -97.845686",$4.17/month PIE members $2/hr Non-Members,40A
292,PRESIDIUM / VUE,7607 Blessing Ave,Austin,Texas,78752,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.333857, -97.691302",$4.17/month PIE members $2/hr Non-Members,40A
293,THE MEDVE GROUP / TURTLE CREEK,5946 S 1st St,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.204478, -97.783736",$4.17/month PIE members $2/hr Non-Members,40A
294,PIE AE / ANIMAL SERVICE3,7201 Levander Loop,Austin,Texas,78721,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.251538, -97.690807",$4.17/month PIE members $2/hr Non-Members,40A
295,COA / NEWCENTRALLIB2,710 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,J1772,240V,J1772,"30.266118, -97.751731",$4.17/month PIE members $2/hr Non-Members,40A
296,PIE AE / ERCOT 2,7620 Metro Center Dr,Austin,Texas,78744,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,NEMA 5-20R,240V,J1772,"30.216521, -97.691645",$4.17/month PIE members $2/hr Non-Members,40A
297,RAINEY STREET / MILLENNIUM 02,92 Rainey St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.260538, -97.738296",$4.17/month PIE members $2/hr Non-Members,40A
298,HANOVER / L6,110 San Antonio St,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Multifamily Commercial,J1772,--,--,"30.265239, -97.74912",$4.17/month PIE members $2/hr Non-Members,40A
299,ROSCOE PROPERTI / THE CONNECTION,4404 E Oltorf St,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.227456, -97.726096",$4.17/month PIE members $2/hr Non-Members,40A
300,BV LAKEWAY / STATION1,107 Bella Montagna Cir,Lakeway,Texas,78734,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.35822, -97.958301",$4.17/month PIE members $2/hr Non-Members,40A
301,ENDEAVOR REG / 901 E 6TH ST 3,901 E 6th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.264999, -97.733411",$4.17/month PIE members $2/hr Non-Members,40A
302,SOLARWINDS / SOLARWINDS #2,7171 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.250799, -97.862755",$4.17/month PIE members $2/hr Non-Members,40A
303,COA FLEET - PIE / ROOF6,700-798 E 9th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.268866, -97.734612",$4.17/month PIE members $2/hr Non-Members,40A
304,PIE AE / PUB M STATION 1,2901 E 16th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.278956, -97.708847",$4.17/month PIE members $2/hr Non-Members,40A
305,PARKING LEVEL 1 / GATEWAY 1 MAIN,11301 Domain Dr,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.3987, -97.724056",$4.17/month PIE members $2/hr Non-Members,40A
306,SALTILLO / BLOCK 1,901 E 5th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.264446, -97.733595",$4.17/month PIE members $2/hr Non-Members,40A
307,HABITAT SUITES / DUAL PORT,500 E Highland Mall Blvd,Austin,Texas,78752,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.329139, -97.709555",$4.17/month PIE members $2/hr Non-Members,40A
308,SAS / SAMSUNG 4,12100 samsung blvd,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.377514, -97.639643",$4.17/month PIE members $2/hr Non-Members,40A
309,PIE AE / PUB DELL1,1345 Philomena St,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.302504, -97.706976",$4.17/month PIE members $2/hr Non-Members,40A
310,W1 / W1,4100 Jackson Ave,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.315142, -97.755709",$4.17/month PIE members $2/hr Non-Members,40A
311,DSMCUT / EVSE02 FLOOR L6,501-573 E 15th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Healthcare,J1772,240V,J1772,"30.275264, -97.734579",$4.17/month PIE members $2/hr Non-Members,40A
312,ENDEAVOR REG / LEVEL 4 - #2,4301 Bull Creek Rd,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.317737, -97.754947",$4.17/month PIE members $2/hr Non-Members,40A
313,PIE AE / PUBHARCON L2,6601 Vaught Ranch Rd,Austin,Texas,78730,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.373046, -97.806478",$4.17/month PIE members $2/hr Non-Members,40A
314,120 ENTRANCE / ACH MAIN,Best Western PLUS Austin CIty Hotel,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Hospitality,J1772,240V,J1772,"30.235856, -97.741577",$4.17/month PIE members $2/hr Non-Members,40A
315,OPHTHALMOLOGY / AUSTIN EYE STA1,1009 E 40th St,Austin,Texas,78751,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.296713, -97.719788",$4.17/month PIE members $2/hr Non-Members,40A
316,COA FLEET - PIE / TOOMEY #1,1501 Toomey Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.263723, -97.759262",$4.17/month PIE members $2/hr Non-Members,40A
