name,address,longitude,latitude,description,parking,pricing,contact,networks,total_plugs,renewable_power_supply,Plugs_CHAdeMO,Plugs_Tesla,Plugs_CCS_SAE,Plugs_J1772,Plugs_Type2,Plugs_Three_Phase,Plugs_Commando,Plugs_Wall_AU_NZ,Plugs_Caravan_Mains_Socket,Plugs_Other,power_outputs_kw,source,source_date
Tesla Destination Charger,"315 All Saints Rd, Wahgunyah",146.410299,-35.993453,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"217 Main St, Rutherglen",146.4560172,-36.0520568,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"186 Golf Club Dr, Howlong",146.6443868,-35.9847369,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"565 Mudge St, Hamilton Valley",146.8958712,-36.0284963,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"63 Commercial St, Walla Walla",146.9008004,-35.7647808,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"Fairview St, Wycheproof",143.226469,-36.078895,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"438 High St, Echuca",144.74814,-36.12731,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"54 Meninya St, Moama",144.754078,-36.110906,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"74 Slaughterhouse Rd, Rutherglen",146.452289,-36.069344,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,Barnawartha North,146.7269279,-36.073955,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Supercharger,"13-May, Havelock St, Wodonga",146.8899666,-36.1238894,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
NRMA Charging Station,"441 Kiewa St, Albury",146.9143513,-36.0837322,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"648 Dean St, Albury",146.9122336,-36.0795202,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"Chapel St, Wedderburn",143.613889,-36.418021,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"8 Fraser St, Shepparton",145.40025,-36.38038,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"77 Midland Hwy, Mooroopna",145.359834,-36.394665,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Electric Vehicle Charging Station,"530 Wyndham St, Shepparton",145.3966079,-36.3913367,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"104 Hogan St, Tatura",145.2260557,-36.4402801,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"195 Major Plains Rd, Dookie",145.7257481,-36.3529636,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"29-37 Ryley St, Wangaratta",146.319437,-36.358166,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"1143 Snow Rd, Oxley",146.381853,-36.443411,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"1036 Beechworth-Wangaratta Rd, Beechworth",146.5765765,-36.3842413,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"239 Milawa-Bobinawarrah Rd, Milawa",146.4306173,-36.4543304,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"59 Havelock Rd, Beechworth",146.7046346,-36.350918,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"51 Sydney Rd, Beechworth",146.6881028,-36.3485543,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"Cnr Calder Highway, Arnold Rd, Bridgewater on Loddon",143.9378733,-36.6000707,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"Storm Ln, Inglewood",143.8676573,-36.5758333,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
