,Location Name,Address,Status,Description,Nearest charging station,Plugs_wall_AU/NZ,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Type2,KW_50,KW_22,Location_category ,Car_parking,Score,Contact_info,charging_stations,payment,location,latitude,longitude,evstations_count,hospitals_count,parks_count,restaurants_count,malls_count,url
10,Tully,"Morris St, Tully QLD 4854, Australia",Active,"Parking in council carpark cnr Writ Ln/Morris St, near playground","Townsville: 208km South, 
Cairns: 141km North",0,1,1,0,0,2,1,1,Public,0,5.6,61-1300480903,3,0.3,"-17.93486278,145.9244323",-17.93486278,145.9244323,1,1,6,14,0,"https://www.google.com/maps/place/-17.93486278,145.9244323"
11,Miriam Vale,"39 Blomfield St, Miriam Vale QLD 4677, Australia",Active,"Blomfield St, On-street perpendicular parking just north of Alf Larson Park",Colosseum Creek Roadhouse: 14.7km,0,1,1,0,0,2,1,1,Public,0,10.0,61-1300480903,3,0.2,"-24.32778446,151.5601492",-24.32778446,151.5601492,1,0,3,6,1,"https://www.google.com/maps/place/-24.32778446,151.5601492"
12,Carmila,"8 Music St, Carmila QLD 4739, Australia",Active,"Near Service Station, Carmila","Marlborough: 136km South, 
Mackay: 100km North",0,1,1,0,0,2,1,1,Public,0,10.0,61-1300480903,3,0.2,"-21.90865281,149.4090921",-21.90865281,149.4090921,1,0,2,3,0,"https://www.google.com/maps/place/-21.90865281,149.4090921"
13,Townsville,"4 James Cook Dr, Douglas QLD 4814, Australia",Active,"James Cook University, near Supermarket","Tony Ireland Stadium Riverway: 3.0km, Townsville Stadium: 4.6km, Mercure Townsville: 6.4km",0,1,1,0,0,2,1,1,Public,0,6.2,,3,0.2,"-19.32382549,146.7587996",-19.32382549,146.7587996,1,4,4,9,4,"https://www.google.com/maps/place/-19.32382549,146.7587996"
14,Toowoomba,"10783 Warrego Hwy, Charlton QLD 4350, Australia",Active,"Caltex Charlton Travel Centre, Warrego Hwy","Altitude Motel Apartments: 7.7km, Coles Glenvale: 8.1km, AC/DC Energy: 10km ",0,1,1,0,0,2,1,1,Public,0,1.0,,3,0.2,"-27.5202159,151.8501711",-27.5202159,151.8501711,1,0,0,2,0,"https://www.google.com/maps/place/-27.5202159,151.8501711"
15,Cooroy,"Cooroy Railway Station, Cooroy QLD 4563, Australia",Active,Cooroy Train Station carpark,"Cudgerie Homestead: 4.6km, Noosa Valley Manor B&B: 9.1km, Shell Service Station: 13.4km",0,1,1,0,0,2,1,1,Public,0,10.0,61-1300480903,3,0.2,"-26.418047,152.911429",-26.418047,152.911429,1,1,6,17,0,"https://www.google.com/maps/place/-26.418047,152.911429"
16,Springfield,"4 David Henry Way, Springfield Central QLD 4300, Australia",Active,Carpark on David Henry Way,"Orion Springfield Station: 0.7km, Brookwater Golf Course: 2.2km, Redbank Plaza: 9km",0,1,1,0,0,2,1,1,Public,1,9.3,61-1300480903,3,0.2,"-27.68194444,152.8997222",-27.68194444,152.8997222,4,4,6,20,4,"https://www.google.com/maps/place/-27.68194444,152.8997222"
17,Yarraville,"2/209 Hyde St, Yarraville VIC 3013",Active,"In carpark of Unit 2/209. If cars parked call phone or ask at the AAkonsult offices. Locked gates outside business hours, try calling the mobile number listed but as this is a business the chances of getting through depend on time of calling, (e.g. very late at night would not be a good time!).","Lorbek Luxury Cars: 2.5km, Middy's Port Melbourne: 2.7km",0,0,0,1,0,0,0,1,Public,0,,61-419944444,1,,"-37.81899541,144.8964976",-37.81899541,144.8964976,8,0,8,20,1,"https://www.google.com/maps/place/-37.81899541,144.8964976"
18,Kensington,"72 Altona Street, Kensington VIC 3031",Active,BYO Type 2 Mennekes cable,"The Green Guys Group: 1.5km, District Docklands Shopping - West Carpark : 2 km",0,0,0,0,0,2,0,1,Public,0,,,2,0.3,"-37.79687512,144.926417",-37.79687512,144.926417,20,1,12,20,1,"https://www.google.com/maps/place/-37.79687512,144.926417"
19,Docklands,"8-9 Star Circus, Docklands VIC 3008, Australia",Active,"Parking level 1 yellow, section D.","District Docklands Shopping - East Carpark: 0.2km, Flagstaff City Inn: 1.3km, The Green Guys Group: 1.4km",0,0,0,1,0,0,0,1,Commercial,0,8.0,,1,0,"-37.81279364,144.9373902",-37.81279364,144.9373902,20,0,18,20,4,"https://www.google.com/maps/place/-37.81279364,144.9373902"
20,Docklands,"90 Waterfront Way, Docklands VIC 3008, Australia",Active,"East car park, level 1, south end. Park and charge up to 90 min free when buying $10 at Woolworth. Max 11.5kW (3 phase x 16A x 240 voltage) EXTREMELY short cable. Just reaches to plug in point.","District Docklands Shopping - West Carpark: 0.2km, Flagstaff City Inn: 1km, The Green Guys Group: 1.3km",0,0,0,1,0,0,0,1,Commercial,0,10.0,,1,0,"-37.81209916,144.9392454",-37.81209916,144.9392454,20,0,20,20,7,"https://www.google.com/maps/place/-37.81209916,144.9392454"
21,Carlton,204-218 Lygon St Carlton Victoria 3053 Australia,Active,Station located on the right hand side as you enter Lygon Street Car Park. Charging is free with paid parking at $5 per hr. The Chargepoint charger has been replaced with a Type2 Ocular charger that opperates with the 'exploren' app. App is quick to install and register and opperates reliably. Good charging station,"Melbourne Museum: 0.6km, Melbourne Marriott: 0.9km ",0,0,0,0,0,1,0,1,Commercial,1,8.2,,1,p,"-37.80216073,144.9671638",-37.80216073,144.9671638,20,17,17,20,20,"https://www.google.com/maps/place/-37.80216073,144.9671638"
22,Carlton,"11 Nicholson St, Carlton VIC 3053, Australia",Active,Entry to the Melbourne Museum Cark Park is from either Nicholson Street or Rathdowne Street. Charging stations are on car park level P2. Free to use Delta chargers.,"Lygon Street Car Park: 0.6km, Melbourne Marriott: 0.7km, Wilson Parking: 0.9km",0,0,0,0,2,0,0,1,Commercial,1,8.4,61-1300130152,2,p,"-37.80320151,144.9717566",-37.80320151,144.9717566,20,16,17,20,20,"https://www.google.com/maps/place/-37.80320151,144.9717566"
