,No. of Ports,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,Power Select,evstations_count,hospitals_count,parks_count,restaurants_count,Clusters,cluster_type
334,2,0,5,0,1,1,2,20,1,19,20,0,Dense
335,2,1,8,0,1,1,2,20,1,20,20,0,Dense
336,2,1,1,0,1,1,2,20,2,11,20,0,Dense
337,2,0,8,0,1,1,2,7,1,6,12,0,Dense
338,2,1,5,0,1,1,2,9,0,5,7,1,Normal
339,2,3,4,1,1,1,2,5,1,2,17,0,Dense
340,2,1,5,0,1,1,2,20,2,10,20,1,Normal
341,2,0,8,0,1,1,2,20,1,20,20,0,Dense
342,2,1,5,0,1,1,2,20,1,20,20,0,Dense
343,2,2,3,0,1,1,2,20,2,20,20,1,Normal
344,2,1,5,0,1,1,2,13,0,6,20,1,Normal
345,2,2,3,0,1,1,0,20,1,18,20,1,Normal
346,2,2,3,0,1,1,2,6,0,1,3,1,Normal
347,2,1,8,0,1,1,2,5,0,3,2,0,Dense
348,2,1,3,0,1,1,2,20,0,20,20,2,Sparse
349,2,1,8,0,1,1,2,5,0,1,2,0,Dense
350,2,1,8,0,1,1,2,3,0,1,19,1,Normal
351,2,2,3,0,1,1,2,20,0,20,20,0,Dense
352,2,1,5,0,1,1,2,20,0,18,20,1,Normal
353,2,3,6,0,1,1,2,4,0,4,8,1,Normal
354,2,1,5,0,1,1,2,1,0,3,3,1,Normal
355,2,0,8,0,1,1,2,7,1,6,12,0,Dense
356,2,0,8,0,1,1,2,3,0,0,12,1,Normal
357,1,1,8,0,0,0,2,9,1,19,20,2,Sparse
358,2,1,8,0,1,1,2,5,0,2,7,1,Normal
359,2,1,5,0,1,1,2,5,0,5,20,2,Sparse
360,2,1,3,0,1,1,2,14,0,5,20,1,Normal
361,1,0,3,0,0,0,2,20,1,20,20,2,Sparse
362,2,1,5,0,1,1,2,8,0,2,20,1,Normal
363,2,3,0,0,1,1,2,20,1,13,20,1,Normal
364,2,3,8,0,1,1,2,12,0,1,20,0,Dense
365,2,0,8,0,1,1,2,6,0,7,8,0,Dense
366,2,1,3,0,1,1,2,9,0,1,14,2,Sparse
367,2,1,5,0,1,1,2,11,1,17,20,1,Normal
368,2,1,5,0,1,1,2,7,0,4,13,2,Sparse
369,2,3,4,1,1,1,2,10,0,4,20,0,Dense
370,2,2,3,0,1,1,2,7,0,6,20,1,Normal
371,2,1,8,0,1,1,2,7,1,2,14,2,Sparse
372,2,1,7,0,1,1,2,20,0,20,20,2,Sparse
