"Region","Locality","Operator","Owner","DC or AC","kW","Connectors","Num_installed","Num_in_progress","Address","Long","Lat","EECA funded"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"130 Tauroa St, Whangarei 0110",174.3087761,-35.7514612,"No"
"Canterbury","Canterbury","ChargeNet NZ","Network Waitaki","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"14 Bledisloe St, Kurow 9435",170.4704516,-44.7333019,"No"
"Southland","Southland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"14 Diana St, Lumsden 9730, NZ",168.4414491,-45.7389158,"Yes"
"Canterbury","Canterbury","ChargeNet NZ","Alpine Energy Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"14 Geraldine-Fairlie Hwy, Geraldine 7930",171.2349284,-44.1074152,"No"
"Auckland","Pukekohe","Counties Power","Counties Power","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"14 Glasgow Rd, Pukekohe 2120, New Zealand",174.9079987,-37.2081638,"Yes"
"Auckland","Auckland","Vector","Vector","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",2,0,"14-16 Constellation Drive,Rosedale,Auckland,Auckland,0632",174.7351666,-36.7465744,"No"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"15 Raumati Rd, Paraparaumu 5032, NZ",174.9818099,-40.9187747,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"15 Beach Rd, Auckland 1010",174.7748414,-36.8496584,"Yes"
"Waikato","Hamilton","WEL Networks Ltd","WEL Networks Ltd","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"153 Ingram Road, Rukuhia",175.324959,-37.8767508,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"155 Wharf Rd, Coromandel 3506",175.4954859,-36.7607296,"Yes"
"Waikato","Te Kauwhata","WEL Networks Ltd","WEL Networks Ltd","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"16 Wayside Road, Te Kauwhata",175.127487397762,-37.4125665624,"Yes"
"Tasman","Golden Bay","ChargeNet NZ","Network Tasman Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"16 Willow Street, Golden Bay 7110",172.806,-40.862,"No"
"Canterbury","Canterbury","ChargeNet NZ","Electricity Ashburton Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"160 Main St, Methven 7730",171.647483,-43.6319204,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"167 Glasgow St, Whanganui 4500",175.0388443,-39.9263494,"Yes"
"Auckland","Auckland","Vector","Vector","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",2,0,"17 Hibiscus Coast Highway,Silverdale,0993",174.6708392,-36.6223207,"No"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"17 Mill Street, Hamilton 3200",175.2729748,-37.7797936,"Yes"
"Canterbury","Christchurch","ChargeNet NZ","BP2go Redcliffs","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"170 Main Road, Christchurch 8081",172.7379411,-43.5613883,"No"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"174 Vivian St, Wellington 6011",174.7745151,-41.2943163,"No"
"Canterbury","Christchurch","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"174 Wainoni Rd, Christchurch 8061",172.6925937,-43.5120436,"Yes"
"Canterbury","Christchurch","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"175 Durham St South, Christchurch 8011",172.6333195,-43.5388613,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"180 Mokoia Rd, Auckland 0626",174.7114732,-36.8114249,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"186 Don Mckinnon Dr, Auckland 0632",174.7042936,-36.7299794,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"186 Waerenga Road, Otaki 5512",175.1528344,-40.7637577,"Yes"
"Bay of Plenty","Bay of Plenty","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"19 Girven Road, Tauranga 3116",176.2240858,-37.6756516,"Yes"
"Auckland","Pokeno","Counties Power","Counties Power","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"19 Market St, Pokeno",175.020966,-37.2454943,"Yes"
