name,address,postcode,latitude,longitude,networks,total_plugs,Plugs_CCS_SAE,Plugs_CHAdeMO,Plugs_Caravan_Mains_Socket,Plugs_J1772,Plugs_Tesla,Plugs_Three_Phase,Plugs_Commando,Plugs_Type2,Plugs_Wall_AU_NZ,Plugs_Other,power_outputs_kw
BM Autowerks,"28-34 Westminster Street, Oakleigh 3166, Australia",3166,-37.90326,145.095351,['EVUp'],1,0,0,0,1,0,0,,0,0,,[7.6]
Ramada Resort by Wyndham Phillip Island,"2128 Phillip Island Road, Cowes, VIC, Australia, VIC 3922",3922,-38.471698,145.242237,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[5.0]
Cowes Transit Centre,"83 Thompson Ave, Cowes VIC 3922, Australia",3922,-38.451339,145.240243,"['Tesla Destination', 'EVUp']",4,0,0,0,1,2,0,,1,0,,"['unknown', 7.0]"
Harrow Street Car Park,"3 John St, Box Hill VIC 3128, Australia",3128,-37.821964,145.124448,['Chargefox'],5,0,0,0,0,0,0,,5,0,,['unknown']
RACV Head Office (Service Centre Car Park),"Browns Road, Noble Park North 3174, Australia",3174,-37.952893,145.180067,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Hart's Farm,"Gate 2, 300 Tucks Rd, Shoreham, VIC, Australia, VIC 3916",3916,-38.4092,145.0067,['Tesla Destination'],1,0,0,0,0,1,0,,0,0,,[2.0]
Darebin Civic Centre Precinct,"274 Gower Street, Preston VIC 3072, Australia",3072,-37.740102,145.005114,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Nepean Country Club And & Day Spa,"205 Browns Rd, Boneo VIC 3939, Australia",3939,-38.398895,144.870509,['Non-networked'],3,0,0,0,1,0,1,,0,1,,['unknown']
Oakleigh South,"23-25 Bunney Road, Oakleigh South VIC 3167, Australia",3167,-37.932688,145.097119,['EVUp'],1,0,0,0,0,0,0,,1,0,,[7.0]
Quest Burwood East,"317 Burwood Hwy, Burwood East VIC 3151, Australia",3151,-37.853643,145.162436,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Forest Hill Chase Shopping Centre,"270 Canterbury Rd, Forest Hill VIC 3131, Australia",3131,-37.835382,145.163537,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
CB Smith Reserve,99 Jukes Road Fawkner VIC 3060 AU,3060,-37.702614,144.969502,['Chargefox'],2,1,1,0,0,0,0,,0,0,,[25.0]
