barrels08,charge120,charge240,city08,city08U,cityE,comb08,comb08U,combE,drive,engId,eng_dscr,fuelCost08,fuelType,fuelType1,ghgScore,highway08,highway08U,highwayE,hlv,hpv,id,lv2,lv4,make,model,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UHighway,VClass,year,youSaveSpend,baseModel,tCharger,sCharger,atvType,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr
0.0672,0.0,7.0,128,128.2,26.0,119,118.9,28.0,Front-Wheel Drive,110,,650,Electricity,Electricity,10,109,109.2,31.0,0,0,33640,0,11,Chevrolet,Spark EV,0,86,82,87.8,0.0,74.8,0.0,Automatic (A1),183.2,156.0,Subcompact Cars,2014,6000,Spark,,,EV,104 kW AC Induction,GMX,,0.0,
0.0696,0.0,4.0,132,131.8861,26.0,118,118.142,29.0,Front-Wheel Drive,11,,650,Electricity,Electricity,10,105,104.7943,32.0,0,0,33905,0,21,Honda,Fit EV,0,91,82,89.81,0.0,73.56,0.0,Automatic (A1),188.4087,149.7062,Small Station Wagons,2014,6000,Fit,,,EV,92 kW DCPM,HNX,,0.0,
0.0768,0.0,3.6,110,110.048,31.0,105,104.7587,32.0,Front-Wheel Drive,422,,700,Electricity,Electricity,10,99,98.9461,34.0,14,90,34130,0,0,Ford,Focus Electric,0,0,76,79.7573,0.0,71.5259,0.0,Automatic (A1),157.2114,141.3516,Compact Cars,2014,5750,Focus,,,EV,107 kW AC PMSM,FMX,,0.0,
0.0696,0.0,4.0,122,122.4,28.0,116,115.974,29.0,Front-Wheel Drive,339,,650,Electricity,Electricity,10,108,108.1,31.0,7,72,34392,0,0,Fiat,500e,0,0,87,91.84,0.0,81.48,0.0,Automatic (A1),174.8555,154.4591,Minicompact Cars,2014,6000,500e,,,EV,82 kW ACIPM,CRX,,0.0,
0.0768,0.0,6.0,122,121.66,28.0,107,106.9856,32.0,Rear-Wheel Drive,705,,700,Electricity,Electricity,10,93,93.24,36.0,0,0,34393,0,0,smart,fortwo electric drive convertible,0,0,68,76.0,0.0,59.0,0.0,Automatic (A1),173.8,133.2,Two Seaters,2014,5750,fortwo,,,EV,55 kW DCPM,MBX,,0.0,
0.0768,0.0,6.0,122,121.66,28.0,107,106.9856,32.0,Rear-Wheel Drive,704,,700,Electricity,Electricity,10,93,93.24,36.0,0,0,34394,0,0,smart,fortwo electric drive coupe,0,0,68,76.0,0.0,59.0,0.0,Automatic (A1),173.8,133.2,Two Seaters,2014,5750,fortwo,,,EV,55 kW DCPM,MBX,,0.0,
0.1056,0.0,6.0,78,78.4283,43.0,76,76.169,44.0,Front-Wheel Drive,204,,1000,Electricity,Electricity,10,74,73.5784,46.0,0,0,34425,0,0,Toyota,RAV4 EV,0,0,103,107.0,0.0,98.9,0.0,Automatic (variable gear ratios),112.0404,105.112,Small Sport Utility Vehicle 2WD,2014,4250,RAV4,,,EV,115 kW AC Induction,TYX,,0.0,
0.072,0.0,8.0,126,126.4649,27.0,114,113.7879,30.0,Front-Wheel Drive,901,,700,Electricity,Electricity,10,101,101.3686,33.0,24,92,34699,0,0,Nissan,Leaf,0,0,84,92.0,0.0,74.0,0.0,Automatic (A1),180.6641,144.8123,Midsize Cars,2014,5750,Leaf,,,EV,80 kW DCPM,NSX,3.6 kW charger,5.0,6.6 kW charger
0.0911999999999999,0.0,12.0,88,87.9,38.0,89,88.8,38.0,Rear-Wheel Drive,1,,850,Electricity,Electricity,10,90,90.1,37.0,26,94,34775,0,0,Tesla,Model S (85 kW-hr battery pack),0,0,265,262.7,0.0,266.8,0.0,Automatic (A1),110.4,113.2,Large Cars,2014,5000,Model S,,,EV,270 kW AC Induction (85 kW-hr battery pack),TSL,standard charger,4.75,80 amp dual charger
0.0839999999999999,0.0,10.0,94,94.4,36.0,95,95.4,35.0,Rear-Wheel Drive,2,,800,Electricity,Electricity,10,97,96.7,35.0,26,94,34776,0,0,Tesla,Model S (60 kW-hr battery pack),0,0,208,205.7,0.0,210.7,0.0,Automatic (A1),118.6,121.5,Large Cars,2014,5250,Model S,,,EV,225 kW AC Induction (60 kW-hr battery pack),TSL,standard charger,3.75,80 amp dual charger
0.1296,0.0,6.0,61,61.32,55.0,63,62.9357,54.0,Front-Wheel Drive,1,,1200,Electricity,Electricity,10,65,65.03,52.0,0,0,34859,0,0,BYD,e6,0,0,127,121.1,0.0,133.9,0.0,Automatic (A1),87.6,92.9,Small Sport Utility Vehicle 2WD,2014,3250,e6,,,EV,75 kW AC PMSM,BYD,,0.0,
0.1296,0.0,6.0,61,61.32,55.0,63,62.9357,54.0,Front-Wheel Drive,1,,1200,Electricity,Electricity,10,65,65.03,52.0,0,0,34860,0,0,BYD,e6,0,0,127,121.1,0.0,133.9,0.0,Automatic (A1),87.6,92.9,Small Sport Utility Vehicle 2WD,2013,3250,e6,,,EV,75 kW AC PMSM,BYD,,0.0,
0.072,0.0,7.0,126,126.3678,27.0,112,112.2077,30.0,Rear-Wheel Drive,141,,700,Electricity,Electricity,10,99,98.6914,34.0,13,85,34901,0,0,Mitsubishi,i-MiEV,0,0,62,68.5545,0.0,54.8184,0.0,Automatic (A1),180.5254,140.9876,Subcompact Cars,2014,5750,i-MiEV,,,EV,49 kW DCPM,MTX,,0.0,
0.072,0.0,8.0,126,126.4612,26.6482,114,113.7816,29.6225,Front-Wheel Drive,901,,650,Electricity,Electricity,10,101,101.3602,33.2577,24,92,34918,0,0,Nissan,Leaf,0,0,84,92.0,0.0,74.0,0.0,Automatic (A1),180.6589,144.8003,Midsize Cars,2015,6000,Leaf,,,EV,80 kW DCPM,NSX,3.6 kW charger,5.0,6.6 kW charger
0.0672,0.0,7.0,128,128.2,26.2638,119,118.9,28.3449,Front-Wheel Drive,55,,650,Electricity,Electricity,10,109,109.2,30.8654,0,0,35120,0,11,Chevrolet,Spark EV,0,86,82,87.8,0.0,74.8,0.0,Automatic (A1),183.2,156.0,Subcompact Cars,2015,6000,Spark,,,EV,104 kW ACPM,GMX,,0.0,
0.0696,0.0,4.0,122,122.4,27.537,116,115.974,29.1733,Front-Wheel Drive,38,,650,Electricity,Electricity,10,108,108.1,31.1733,7,72,35206,0,0,Fiat,500e,0,0,87,91.84,0.0,81.48,0.0,Automatic (A1),174.8555,154.4591,Minicompact Cars,2015,6000,500e,,,EV,82 kW AC Induction,CRX,,0.0,
0.0648,0.0,4.0,137,137.48,25.0,124,124.3601,27.0,Rear-Wheel Drive,100,,600,Electricity,Electricity,10,111,111.37,30.0,0,0,35207,0,15,BMW,i3 BEV,0,84,81,89.0,0.0,71.6,0.0,Automatic (A1),196.4,159.1,Subcompact Cars,2014,6250,i3,,,EV,125 kW AC Induction,BMX,,0.0,
0.096,0.0,3.5,85,84.56,40.0,84,83.7634,40.0,Front-Wheel Drive,504,,900,Electricity,Electricity,10,83,82.81,41.0,0,0,35247,0,22,Mercedes-Benz,B-Class Electric Drive,0,90,87,88.5,0.0,86.2,0.0,Automatic (A1),120.8,118.3,Midsize Cars,2014,4750,B-Class Electric Drive,,,EV,132 kW AC Induction,MBX,,0.0,
0.0768,0.0,4.0,120,119.6,28.1744,105,105.3754,31.9856,Front-Wheel Drive,34,,700,Electricity,Electricity,10,92,92.0,36.6438,0,0,35601,0,19,Kia,Soul Electric,0,97,93,103.6,0.0,79.7,0.0,Automatic (A1),170.9,131.4,Small Station Wagons,2015,5750,Soul,,,EV,81 kW AC PMSM,KMX,,0.0,
0.0696,0.0,4.0,126,125.6,26.8395,116,115.5536,29.1683,Front-Wheel Drive,109,,650,Electricity,Electricity,10,105,105.3,32.0146,17,91,35849,0,0,Volkswagen,e-Golf,0,0,83,88.9,0.0,75.2,0.0,Automatic (A1),179.4,150.4,Compact Cars,2015,6000,Golf/GTI,,,EV,85 kW AC PMSM,VGA,,0.0,
0.0768,0.0,6.0,122,121.66,27.7043,107,106.9856,31.5042,Rear-Wheel Drive,705,,700,Electricity,Electricity,10,93,93.24,36.1486,0,0,35858,0,0,smart,fortwo electric drive convertible,0,0,68,76.0,0.0,59.0,0.0,Automatic (A1),173.8,133.2,Two Seaters,2015,5750,fortwo,,,EV,55 kW DCPM,MBX,,0.0,
0.0768,0.0,6.0,122,121.66,27.7043,107,106.9856,31.5042,Rear-Wheel Drive,704,,700,Electricity,Electricity,10,93,93.24,36.1486,0,0,35859,0,0,smart,fortwo electric drive coupe,0,0,68,76.0,0.0,59.0,0.0,Automatic (A1),173.8,133.2,Two Seaters,2015,5750,fortwo,,,EV,55 kW DCPM,MBX,,0.0,
