start_date,station_na,charging_t,energy_kwh,address_1,address_2,city,state_prov,zip_postal,fee,model_numb,latitude,longitude,location
2022-02-06T18:24:19Z,TOWN OF CARY / TOWN HALL-PWH,3:58:15,24.285,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-02-06T21:12:24Z,TOWN OF CARY / BOND PARK BH,1:07:03,4.952,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-06T18:43:57Z,TOWN OF CARY / BOND PARK BH,2:39:23,7.704,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-06T18:06:19Z,TOWN OF CARY / TOWN HALL-PWH,0:15:23,1.32,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-02-05T20:06:17Z,TOWN OF CARY / TOWN HALL-PWH,1:37:03,10.131,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-02-05T14:30:14Z,TOWN OF CARY / DT DECK P3 WEST,4:06:13,24.628,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-02-05T14:42:04Z,TOWN OF CARY / TOWN HALL-PWH,4:29:21,27.803,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-02-05T18:05:51Z,TOWN OF CARY / BOND PARK BH,0:26:55,3.122,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-05T15:16:25Z,TOWN OF CARY / DT DECK P2 (1),0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.7794110000 35.7854460000)
2022-02-04T19:21:54Z,TOWN OF CARY / DT DECK P3 WEST,0:06:21,0.314,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-02-04T22:15:46Z,TOWN OF CARY / DT DECK P2 (2),0:49:52,4.952,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.7797010000 35.7853850000)
2022-02-04T20:39:12Z,TOWN OF CARY / BOND PARK BH,0:44:20,2.584,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-04T20:18:17Z,TOWN OF CARY / BOND PARK BH,0:21:30,2.597,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-03T14:27:15Z,TOWN OF CARY / BOND PARK BH,0:56:22,6.08,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-02T00:18:44Z,TOWN OF CARY / DT DECK P2 (1),1:03:56,3.226,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.7794110000 35.7854460000)
2022-02-01T22:04:13Z,TOWN OF CARY / BOND PARK BH,0:58:05,6.976,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-31T12:30:09Z,TOWN OF CARY / BOND PARK BH,3:18:50,23.656,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-30T19:00:22Z,TOWN OF CARY / BOND PARK BH,2:46:23,8.146,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-27T22:17:04Z,TOWN OF CARY / BOND PARK BH,0:09:56,1.167,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-30T18:10:49Z,TOWN OF CARY / TOWN HALL-PWH,0:56:03,2.864,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-01-30T13:21:42Z,TOWN OF CARY / TOWN HALL-PWH,0:16:42,0.924,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-01-27T13:22:09Z,TOWN OF CARY / TOWN HALL-PWH,1:39:19,4.563,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-01-30T21:47:48Z,TOWN OF CARY / BOND PARK BH,0:20:30,2.45,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-30T19:24:56Z,TOWN OF CARY / BOND PARK BH,0:37:44,4.552,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-28T20:08:21Z,TOWN OF CARY / BOND PARK BH,1:54:13,12.258,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-31T17:44:07Z,TOWN OF CARY / DT DECK P2 (2),3:15:56,12.428,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.7797010000 35.7853850000)
2022-01-29T21:41:17Z,TOWN OF CARY / DT DECK P3 WEST,5:14:48,31.161,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-01-28T21:12:32Z,TOWN OF CARY / DT DECK P3 WEST,0:34:24,3.336,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-01-27T14:10:27Z,TOWN OF CARY / DT DECK P3 WEST,0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-01-26T14:29:40Z,TOWN OF CARY / BOND PARK BH,2:09:23,12.411,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
