Created;Station ID;Station name;Start time;Stop time;Duration;Energy (Wh);Plug type;Cumulative energy (Wh);Colonna1
14/12/2019 04.55;1126;ABC Tammisilta;14/12/2019 04.55;14/12/2019 05.08;13;4351;DC;38463513;20081.53846
14/12/2019 08.03;1100;Puutarhakatu 4;14/12/2019 08.03;14/12/2019 08.56;53;2860;AC;38466373;3237.735849
14/12/2019 09.33;2653;Puistokatu 10;14/12/2019 09.33;14/12/2019 12.41;189;8140;AC;38474513;2584.126984
14/12/2019 09.46;2652;Puistokatu 10;14/12/2019 09.46;15/12/2019 08.07;1342;3520;AC;38478033;157.3770492
14/12/2019 10.14;3022;Turun linja-autoasema;14/12/2019 10.14;14/12/2019 10.14;1;0;AC;38478033;0
14/12/2019 10.14;3022;Turun linja-autoasema;14/12/2019 10.14;14/12/2019 10.15;1;0;AC;38478033;0
14/12/2019 10.16;1086;Turun linja-autoasema;14/12/2019 10.16;14/12/2019 11.50;95;5080;AC;38483113;3208.421053
14/12/2019 10.43;6436;Turun Messukeskus;14/12/2019 10.43;14/12/2019 12.46;123;7226;AC;38490339;3524.878049
14/12/2019 11.11;1100;Puutarhakatu 4;14/12/2019 11.11;14/12/2019 12.57;106;4650;AC;38494989;2632.075472
14/12/2019 11.23;1099;Puutarhakatu 4;14/12/2019 11.23;14/12/2019 16.46;323;7810;AC;38502799;1450.773994
14/12/2019 11.48;3023;Turun linja-autoasema;14/12/2019 11.48;14/12/2019 11.48;1;41;DC;38502840;2460
14/12/2019 11.49;3023;Turun linja-autoasema;14/12/2019 11.49;14/12/2019 12.12;24;8554;DC;38511394;21385
14/12/2019 12.34;1126;ABC Tammisilta;14/12/2019 12.34;14/12/2019 13.00;27;10716;DC;38522110;23813.33333
14/12/2019 12.39;3023;Turun linja-autoasema;14/12/2019 12.39;14/12/2019 12.50;11;646;DC;38522756;3523.636364
14/12/2019 13.05;1100;Puutarhakatu 4;14/12/2019 13.05;14/12/2019 15.23;139;3440;AC;38526196;1484.892086
14/12/2019 13.31;2500;Stedingkinkatu 2;14/12/2019 13.31;14/12/2019 15.18;107;2830;AC;38529026;1586.915888
14/12/2019 13.44;1086;Turun linja-autoasema;14/12/2019 13.44;14/12/2019 18.18;275;0;AC;38529026;0
14/12/2019 13.45;3023;Turun linja-autoasema;14/12/2019 13.45;14/12/2019 15.28;103;44843;DC;38573869;26122.13592
14/12/2019 14.26;6436;Turun Messukeskus;14/12/2019 14.26;14/12/2019 15.37;71;4071;AC;38577940;3440.28169
14/12/2019 15.41;4666;Logomo;14/12/2019 15.41;14/12/2019 17.50;129;5040;AC;38582980;2344.186047
14/12/2019 16.27;1100;Puutarhakatu 4;14/12/2019 16.27;14/12/2019 16.27;1;0;AC;38582980;0
14/12/2019 16.28;1100;Puutarhakatu 4;14/12/2019 16.28;14/12/2019 18.31;124;6420;AC;38589400;3106.451613
14/12/2019 16.51;2653;Puistokatu 10;14/12/2019 16.51;14/12/2019 20.05;195;4690;AC;38594090;1443.076923
14/12/2019 17.07;2500;Stedingkinkatu 2;14/12/2019 17.07;15/12/2019 06.42;815;30700;AC;38624790;2260.122699
14/12/2019 17.55;1140;Hämeenkatu 8;14/12/2019 17.55;14/12/2019 18.06;12;1080;AC;38625870;5400
14/12/2019 18.19;1086;Turun linja-autoasema;14/12/2019 18.19;14/12/2019 22.34;256;10860;AC;38636730;2545.3125
14/12/2019 20.54;1100;Puutarhakatu 4;14/12/2019 20.54;14/12/2019 22.36;102;10860;AC;38647590;6388.235294
14/12/2019 22.11;1126;ABC Tammisilta;14/12/2019 22.11;14/12/2019 22.21;10;3850;DC;38651440;23100
15/12/2019 08.53;1140;Hämeenkatu 8;15/12/2019 08.53;15/12/2019 11.45;173;5840;AC;38657280;2025.433526
15/12/2019 09.51;1126;ABC Tammisilta;15/12/2019 09.51;15/12/2019 10.04;14;4021;DC;38661301;17232.85714
15/12/2019 10.04;6442;Turun Messukeskus;15/12/2019 10.04;15/12/2019 12.35;151;6231;AC;38667532;2475.89404
15/12/2019 11.04;3023;Turun linja-autoasema;15/12/2019 11.04;15/12/2019 11.56;52;13638;DC;38681170;15736.15385
