start_date,station_name,charging_time_hh_mm_ss,energy_kwh,address_1,address_2,city,state_province,zip_postal_code,fee,model_number,latitude,longitude,geopoint
2022-03-07T12:54:52+00:00,TOWN OF CARY / BOND PARK BH,3:39:59,26.752,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-06T14:06:22+00:00,TOWN OF CARY / BOND PARK BH,0:34:05,3.557,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-05T23:59:54+00:00,TOWN OF CARY / TOWN HALL-PWH,9:51:56,60.399,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-05T19:32:54+00:00,TOWN OF CARY / BOND PARK BH,1:40:20,12.135,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-05T18:23:55+00:00,TOWN OF CARY / BOND PARK BH,0:35:51,2.276,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-05T17:34:04+00:00,TOWN OF CARY / BOND PARK BH,1:13:56,9.03,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-05T16:42:00+00:00,TOWN OF CARY / DT DECK P2 (2),1:24:16,6.271,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-05T13:41:12+00:00,TOWN OF CARY / BOND PARK BH,3:53:03,9.863,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-04T23:21:41+00:00,TOWN OF CARY / TOWN HALL-PWH,5:17:18,32.303,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-04T22:05:39+00:00,TOWN OF CARY / DT DECK P2 (2),0:59:07,2.879,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
