location,start_date,station_name,charging_time_hh_mm_ss,energy_kwh,address_1,address_2,city,state_province,zip_postal_code,fee,model_number,latitude,longitude,location_2
POINT(-78.779282 35.785282),1643492477,TOWN OF CARY / DT DECK P3 WEST,05:14:48,31.161,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.779282 35.785282)
POINT(-78.779282 35.785282),1643404352,TOWN OF CARY / DT DECK P3 WEST,00:34:24,3.336,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.779282 35.785282)
POINT(-78.779282 35.785282),1643292627,TOWN OF CARY / DT DECK P3 WEST,00:00:00,0.0,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.779282 35.785282)
POINT(-78.825554 35.781303),1643207380,TOWN OF CARY / BOND PARK BH,02:09:23,12.411,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.779411 35.785446),1643045049,TOWN OF CARY / DT DECK P2 (1),03:11:58,11.953,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.779411 35.785446)
POINT(-78.779366 35.783203),1643052045,TOWN OF CARY / DT DECK P4,00:00:00,0.0,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.779366 35.783203)
POINT(-78.779366 35.783203),1642951483,TOWN OF CARY / DT DECK P4,01:57:50,6.443,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.779366 35.783203)
POINT(-78.779282 35.785282),1642947654,TOWN OF CARY / DT DECK P3 WEST,01:00:06,3.26,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.779282 35.785282)
POINT(-78.779366 35.783203),1642742926,TOWN OF CARY / DT DECK P4,09:15:38,57.258,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.779366 35.783203)
POINT(-78.778816 35.789215),1642728156,TOWN OF CARY / TOWN HALL-PWH,01:07:38,3.438,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215)
POINT(-78.825554 35.781303),1642604118,TOWN OF CARY / BOND PARK BH,01:37:07,9.285,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.825554 35.781303),1642604546,TOWN OF CARY / BOND PARK BH,01:11:03,7.683,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.825554 35.781303),1642454609,TOWN OF CARY / BOND PARK BH,00:28:01,3.353,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.779282 35.785282),1642434941,TOWN OF CARY / DT DECK P3 WEST,00:01:48,0.16,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.779282 35.785282)
POINT(-78.825554 35.781303),1642281559,TOWN OF CARY / BOND PARK BH,01:10:03,8.058,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.779282 35.785282),1642282033,TOWN OF CARY / DT DECK P3 WEST,00:37:20,3.695,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.779282 35.785282)
POINT(-78.779282 35.785282),1642271519,TOWN OF CARY / DT DECK P3 WEST,00:00:00,0.0,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.779282 35.785282)
POINT(-78.825554 35.781303),1642197350,TOWN OF CARY / BOND PARK BH,00:35:57,2.018,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.825554 35.781303),1642191615,TOWN OF CARY / BOND PARK BH,00:26:53,3.256,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.825554 35.781303),1642183530,TOWN OF CARY / BOND PARK BH,02:12:39,16.208,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.779411 35.785446),1642180785,TOWN OF CARY / DT DECK P2 (1),00:00:00,0.0,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.779411 35.785446)
