Latitude,Longitude,charger_type
-38.33811816,144.7372775,CCS/SAE
-16.92045651,145.7788731,CCS/SAE
-37.70191464,144.9681533,CCS/SAE
-37.68247053,145.0710002,CCS/SAE
-22.82764427,149.9327796,CCS/SAE
-37.95950238,145.0169255,CCS/SAE
-17.9347544,145.9253729,CCS/SAE
-37.92549673,145.0278825,CCS/SAE
-17.93486278,145.9244323,CCS/SAE
-37.74058156,144.9694655,CCS/SAE
-37.648097,144.994195,CCS/SAE
-37.84667,144.809201,CCS/SAE
-38.34035,144.310815,CCS/SAE
-36.90919906,144.2670216,CCS/SAE
-16.9198193,145.7805076,CCS/SAE
-21.90865281,149.4090921,CCS/SAE
-37.80425886,144.9932374,CCS/SAE
-37.83192,145.213897,CCS/SAE
-27.55140366,152.3350726,CCS/SAE
-37.828073,144.925718,CCS/SAE
-37.69671193,144.7823411,CCS/SAE
-37.683069,145.071032,CCS/SAE
-37.74111,144.970149,CCS/SAE
-37.85392974,145.1043512,CCS/SAE
-37.71596946,144.5972922,CCS/SAE
-20.01660114,148.2480204,CCS/SAE
-19.32382549,146.7587996,CCS/SAE
-37.767107,145.03066,CCS/SAE
-37.82788423,144.9262572,CCS/SAE
-25.53982619,152.6991534,CCS/SAE
-38.197536,144.321073,CCS/SAE
-37.00576777,144.2175831,CCS/SAE
-21.13971112,149.1852379,CCS/SAE
-37.718952,144.961498,CCS/SAE
-37.97092578,145.2235052,CCS/SAE
-36.88827856,145.2474255,CCS/SAE
-27.5202159,151.8501711,CCS/SAE
-36.3698477,145.361899,CCS/SAE
-37.82022948,145.0402257,CCS/SAE
-28.16419699,153.5152736,CCS/SAE
-37.71395622,144.8860831,CCS/SAE
-22.8276466,149.9327812,CCS/SAE
-16.9036743,145.7617551,CCS/SAE
-37.87579762,145.0436391,CCS/SAE
-37.862909,145.027303,CCS/SAE
-20.0658342,146.2617747,CCS/SAE
-37.81343708,144.955934,Tesla
-38.451339,145.240243,Tesla
-38.002297,145.250432,Tesla
-38.234305,145.051085,Tesla
-38.4092,145.0067,Tesla
-37.653416,145.016892,Tesla
-37.719978,144.892935,Tesla
-38.385929,145.071771,Tesla
-37.669133,144.851581,Tesla
-38.256559,145.037439,Tesla
-37.812855,144.93695,Tesla
-37.81279364,144.9373902,Tesla
-37.831997,144.995807,Tesla
-37.845907,145.046669,Tesla
-37.816254,144.954636,Tesla
-37.81496609,144.9700935,Tesla
-37.83170783,144.9965223,Tesla
-37.33350334,144.1426209,Tesla
-36.02622585,146.4590455,Tesla
-37.81005952,144.9696999,Tesla
-37.83103692,144.961768,Tesla
-37.86223596,144.9739984,Tesla
-38.474449,145.019202,Tesla
-37.828606,145.05643,Tesla
-37.699043,144.775876,Tesla
-36.67605388,144.245049,Tesla
-37.81209916,144.9392454,Tesla
-38.259646,144.276227,Tesla
-37.76556152,144.9236774,Tesla
-37.23502199,144.4229078,Tesla
-37.818982,144.896722,Tesla
-37.82867623,145.0564007,Tesla
-36.74595006,145.5590773,Tesla
-37.927929,145.143552,Tesla
-19.2714721,146.7858734,Tesla
-23.5236365,148.1593512,Tesla
-37.884862,145.082357,Tesla
-37.78342,145.126058,Tesla
-37.887286,145.0824,Tesla
-37.825511,144.957692,Tesla
-38.23425677,145.0514638,Tesla
-38.372182,145.018678,Tesla
-37.849977,144.97831,Tesla
-16.923837,145.7796679,Tesla
-37.81621089,144.9709391,Tesla
-37.596809,145.412205,Tesla
-37.649756,145.008102,Tesla
-37.81899541,144.8964976,Tesla
-38.065192,144.382451,Tesla
-38.221655,145.045807,Tesla
-38.504564,145.259653,Tesla
-37.815994,144.983228,Tesla
-37.84977063,144.9784513,Tesla
-37.81609341,144.9584272,Tesla
-37.81425,145.229003,Tesla
-18.949778,146.2768679,Tesla
-38.34035,144.310815,Tesla
-38.471698,145.242237,Tesla
-16.9245893,145.7716095,Tesla
-27.55140366,152.3350726,Tesla
-38.522528,145.392082,Tesla
-36.6716481,144.3054738,Tesla
-37.884233,144.734115,Tesla
-38.265713,144.663211,Tesla
-38.380923,144.912544,Tesla
-37.816185,144.97077,Tesla
-37.81638627,144.9547755,Tesla
-37.709632,144.871383,Tesla
-37.81581134,144.9832392,Tesla
-37.818268,144.96402,Tesla
-38.166789,144.341445,Tesla
-37.862284,144.973965,Tesla
-37.81017999,144.9705189,Tesla
-37.833743,145.18642,Tesla
-38.214809,145.422459,Tesla
-38.461847,144.893721,Tesla
-37.814844,144.969685,Tesla
-16.7527799,145.6706987,Tesla
-37.813111,144.955756,Tesla
-37.28599785,144.1736378,Tesla
-38.394641,144.994231,Tesla
-37.995328,145.109648,Tesla
-37.875247,144.679638,Tesla
-16.9036743,145.7617551,Tesla
-37.81581182,144.9595123,Tesla
-37.83218295,144.996426,Tesla
-37.762252,145.16823,Tesla
-37.8180318,144.9640101,Tesla
-37.765834,144.923586,Tesla
-38.451339,145.240243,J-1772
-37.804609,144.972702,J-1772
-37.565285,144.893834,J-1772
-38.398895,144.870509,J-1772
