Id,Nom,Adreça,Codi postal,Àrea,Ciutat,Zona horària,Codi país,Latitud,Longitud,Ubicació
467,"Avinguda Jaime III, 34 (Santa Maria del Camí)","Avinguda Jaime III, 34",07320,ISLAS BALEARES,Santa Maria del Camí,Europa/Madrid,ES,39.6503,2.77186,POINT (2.77186 39.6503)
470,"Carrer Joan Alcover, 8 (Son Servera)","Carrer Joan Alcover, 8",07550,ISLAS BALEARES,Son Servera,Europa/Madrid,ES,39.6129,3.36172,POINT (3.36172 39.6129)
473,"Carrer del Llorer, 3 (Cala Millor)","Carrer del Llorer, 3",07560,ISLAS BALEARES,Son Servera,Europa/Madrid,ES,39.6042,3.37963,POINT (3.37963 39.6042)
476,"Cami de Son Alegre, 2 (Marratxí)","Cami de Son Alegre, 2",07141,ISLAS BALEARES,Marratxí,Europa/Madrid,ES,39.5982,2.7079,POINT (2.7079 39.5982)
481,"Carrer Gabriel Maura, 7 (Marratxí)","Carrer Gabriel Maura, 7",07141,ISLAS BALEARES,Marratxi,Europa/Madrid,ES,39.6111,2.6992,POINT (2.6992 39.6111)
490,"Carrer Mitjorn, 8 (Sineu)","Carrer Mitjorn, 8",07510,ISLAS BALEARES,Sineu,Europa/Madrid,ES,39.6426,3.0148,POINT (3.0148 39.6426)
493,Carrer Economo Más/Del Camp (Sant Joan),Carrer Economo Más/Del Camp,07240,ISLAS BALEARES,Sant Joan,Europa/Madrid,ES,39.5956,3.03746,POINT (3.03746 39.5956)
496,"Carrer Petra, 66 (Sant Joan)","Carrer Petra, 66",07240,ISLAS BALEARES,Sant Joan,Europa/Madrid,ES,39.597,3.04344,POINT (3.04344 39.597)
499,"Plaça Major, 6 (Vilafranca)","Plaça Major, 6",07250,ISLAS BALEARES,Vilafranca,Europa/Madrid,ES,39.5684,3.08898,POINT (3.08898 39.5684)
502,"Carrer del Racó, 24 _A.P. Sa Quintana (Sineu)","Carrer del Racó, 24 _Aparc. Púb. Sa Quintana",07510,ISLAS BALEARES,Sineu,Europa/Madrid,ES,39.6417,3.008,POINT (3.008 39.6417)
505,"Carrer Son Costa, 34 (Sineu)","Carrer Son Costa, 34",07510,ISLAS BALEARES,Sineu,Europa/Madrid,ES,39.6446,3.00604,POINT (3.00604 39.6446)
511,"Carrer des Pou, 21 (Biniali)","Carrer des Pou, 21",07143,ISLAS BALEARES,Sencelles,Europa/Madrid,ES,39.6392,2.8607,POINT (2.8607 39.6392)
514,"Carrer Mareselva, 2 (Sa Coma)","Carrer Mareselva, 2",07560,ISLAS BALEARES,Sant Llorenç des Cardessar,Europa/Madrid,ES,39.5811,3.37241,POINT (3.37241 39.5811)
517,Carrer Llum (Cala Millor),Carrer Llum (Cala Millor),07560,ISLAS BALEARES,Sant Llorenç des Cardessar,Europa/Madrid,ES,39.5956,3.38364,POINT (3.38364 39.5956)
520,"Carrer Ciutat, 3 (Capdepera)","Carrer Ciutat, 3",07580,ISLAS BALEARES,Capdepera,Europa/Madrid,ES,39.7022,3.43253,POINT (3.43253 39.7022)
523,Aparcament Monasteri de Lluc,Aparcament Monasteri de Lluc,07315,ISLAS BALEARES,Escorca,Europa/Madrid,ES,39.8207,2.8843,POINT (2.8843 39.8207)
529,"Carrer Balanguera, s/n CS Martí Serra (Marratxí)","Carrer Balanguera, s/n",07141,ISLAS BALEARES,Marratxí,Europa/Madrid,ES,39.6018,2.68787,POINT (2.68787 39.6018)
532,Carrer Casa del Poble s/n (Marratxí),Carrer Casa del Poble s/n,07141,ISLAS BALEARES,Marratxi,Europa/Madrid,ES,39.6227,2.74163,POINT (2.74163 39.6227)
535,"Carrer Eusebio Estada, 28 (Palma)","Carrer Eusebio Estada, 28",07004,ISLAS BALEARES,Palma,Europa/Madrid,ES,39.5791,2.65773,POINT (2.65773 39.5791)
538,"Disseminat Cas Ripolls, 21 (Sant Joan de Labritja)","Disseminat Cas Ripolls, 21",07810,ISLAS BALEARES,Sant Joan de Labritja,Europa/Madrid,ES,39.0772,1.514,POINT (1.514 39.0772)
541,"Carrer de Juan Tur, 13 (Santa Eulària des Riu)","Carrer de Juan Tur, 13",07840,ISLAS BALEARES,Santa Eulària des Riu,Europa/Madrid,ES,38.9818,1.5329,POINT (1.5329 38.9818)
