name,address,longitude,latitude,description,parking,pricing,contact,networks,total_plugs,renewable_power_supply,Plugs_CCS_SAE,Plugs_CHAdeMO,Plugs_Caravan_Mains_Socket,Plugs_J1772,Plugs_Tesla,Plugs_Three_Phase,Plugs_Commando,Plugs_Type2,Plugs_Wall_AU_NZ,Plugs_Other,power_outputs_kw,source,source_date
The Glen,"235 Springvale Road, Glen Waverley VIC 3150, Australia",145.16523,-37.875269,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Donato Cafe,"88 Craigie Rd, Mount Martha VIC 3934, Australia",145.037439,-38.256559,,,,,['Tesla Destination'],2,,0,0,0,0,2,0,,0,0,,[5.0],PlugShare_Scrape,20/08/2022
Bru4U Geelong,"4/100 Barwon Terrace, South Geelong VIC 3220, Australia",144.367288,-38.172122,,,,,['Non-networked'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Park Rises Residences,"72 Altona Street, Kensington VIC 3031",144.926387,-37.797009,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Paint Spot Niddrie,"1 Elstone Ct, Niddrie VIC 3042, Australia",144.887807,-37.735219,,,,,['Non-networked'],1,,0,0,0,0,0,1,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
(No Longer In Use) DHL Melbourne Gateway,"4 mace Wy, Melbourne Airport VIC 3045, Australia",144.863519,-37.684086,,,,,['Non-networked'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Bayside Entertainment Centre,"28 Beach St, Frankston VIC 3199, Australia",145.125184,-38.140408,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,[7.0],PlugShare_Scrape,20/08/2022
Diamond Valley Sports and Fitness Centre,"44 Civic Dr, Greensborough VIC 3088, Australia",145.110764,-37.689194,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Waverley Nissan,"565-577 Springvale Rd, Mulgrave VIC 3170, Australia",145.159718,-37.906157,,,,,['Chargefox'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Grow Energy,"325A Bay Road, Cheltenham VIC 3192",145.038605,-37.955662,,,,,['Non-networked'],4,,0,0,0,0,0,0,,4,0,,['unknown'],PlugShare_Scrape,20/08/2022
Myuna Farm,"182 Kidds Rd, Doveton VIC 3177, Australia",145.232704,-37.985484,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Lockelec Rolling Stock,"14 Capital Ct, Braeside VIC 3195, Australia",145.109648,-37.995328,,,,,['Non-networked'],1,,0,0,0,0,1,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Kelly Racing,"45 Canterbury Rd Braeside VIC 3195, Australia",145.110226,-38.010174,,,,,['ChargePoint'],1,,0,0,0,1,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
"Footscray town hall, Maribyrnong city council","61 Napier St, Footscray VIC 3011, Australia",144.900362,-37.804868,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
