,Location Name,Latitude,Longitude,Town,Postal Code,City,Address,Plugs_Type2,Plugs_Three_Phase,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Caravan_Mains_Socket,Plugs_wall_AU/NZ,Power 1,charging_stations,Nearby EVStations,Hospitals,Parks,Restaurants,Malls,Supermarkets
78,Nelson Place Parking/Charging,-37.863107,144.904614,N.A,3016,Melbourne,"Commonwealth Reserve, Williamstown VIC 3016, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,1,1,13,20,0,2
79,Dandenong Market - Southern Car Park (Coming Soon),-37.984494,145.216329,N.A,3175,Melbourne,"40 Cleeland St, Dandenong VIC 3175, Australia",0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,N.A,1.0,2,6,10,20,11,20
80,Monash University Clayton - Car Park N1,-37.908137,145.131936,N.A,3800,Melbourne,"10 Research Way, Clayton VIC 3168, Australia",2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50.0,4.0,5,2,4,20,0,6
81,Bru4U Geelong,-38.172122,144.367288,N.A,3220,Geelong,"4/100 Barwon Terrace, South Geelong VIC 3220, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,0,0,3,12,0,1
82,Evie Charging Station,-35.9404835358816, 144.72551622376017,Echuca,2731,N.A,438 High St,0.0,,1.0,1.0,0.0,,,,,,0,0,0,0,0,0
83,Brunswick EV Hub,-37.773851,144.961886,N.A,3056,Melbourne,"15 Edward St, Brunswick VIC 3056, Australia",2.0,0.0,2.0,2.0,0.0,0,0.0,0.0,50.0,6.0,2,1,18,20,3,15
84,Richmond Traders Coles,-37.817041,144.998664,N.A,3121,Melbourne,"46 Cameron St, Richmond VIC 3121, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,8,2,10,20,3,20
85,Queen St,-37.80782358,144.9581717,N.A,3000,Melbourne,"460 Queen St, Melbourne VIC 3000, Australia",12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,12.0,19,9,15,20,20,20
86,Tesla Destination Charger,-37.33350334365738, 144.14262090141872,Daylesford,3460,N.A,4 King St,0.0,,0.0,0.0,1.0,,,,,,3,2,8,20,2,10
87,Tesla Destination Charger,-36.02622585254252, 146.4590454574334,Rutherglen,3685,N.A,217 Main St,0.0,,0.0,0.0,1.0,,,,,,0,0,1,0,0,0
88,David Street Car Park,-37.771404,144.962021,N.A,3056,Melbourne,"1 David St, Brunswick, Victoria, Australia, 3056",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,2,1,17,20,4,19
89,Port Melbourne,-37.82377034,144.9265125,N.A,3207,Melbourne,"2 Thackray Rd, Port Melbourne VIC 3207, Australia",0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50,2.0,6,0,6,10,2,2
90,Lonsdale St,-37.81005952,144.9696999,N.A,3000,Melbourne,"Corner Exhibition & Lonsdale St, Melbourne VIC 3000, Australia",0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,N.A,1.0,17,10,19,20,20,20
91,Rosebud Beach,-38.355584,144.901769,N.A,3940,Melbourne,"980 Point Nepean Road, Rosebud VIC 3939, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,N.A,3.0,0,1,10,20,1,9
92,Holiday Inn Express Melbourne Little Collins,-37.817852,144.955291,N.A,3000,Melbourne,"589-599 Little Collins St, Melbourne VIC 3000, Australia",3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,3.0,20,2,19,20,20,20
93,South Melbourne,-37.83103692,144.961768,N.A,3205,Melbourne,"214 Coventry street, south Melbourne",0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,50,1.0,18,1,20,20,5,20
94,St Kilda,-37.86223596,144.9739984,N.A,3182,Melbourne,"2 Acland St, St Kilda VIC 3182, Australia",2.0,0.0,0.0,0.0,2.0,0,0.0,0.0,N.A,4.0,7,1,15,20,4,6
95,Flinders Hotel,-38.474449,145.019202,N.A,N.A,Melbourne,"23-31 Cook Street, Flinders, Victoria, Australia, VIC 3929",0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,8.0,2.0,2,0,8,10,0,2
96,Rex Gorell Nissan,-38.16275,144.350693,N.A,3220,Geelong,"481 Latrobe Terrace Geelong VIC 3220, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,2,2,10,20,3,6
97,Penguin Parade Visitor's Centre,-38.505496,145.148488,Summerlands,3922,N.A,"995 Ventnor Road Summerlands VIC 3922, Australia",0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,25.0,2.0,1,0,4,2,0,0
98,300 Latrobe Street - Wilson Car Park,-37.810021,144.960653,N.A,3000,Melbourne,300 Latrobe Street Melbourne ,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,N.A,3.0,20,5,19,20,20,20
99,Bob Morell Reserve,-38.163586,144.352507,N.A,3220,Geelong,"514 Moorabool St, South Geelong VIC 3220, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,N.A,4.0,1,1,14,20,3,9
100,Boundary Rd Parking Lot,-37.71912127,144.9615062,N.A,3058,Melbourne,"11 Boundary Rd, Coburg North VIC 3058, Australia",,,1.0,1.0,,,,,,,2,0,7,17,0,3
101,Stony point caravan park,-38.374257,145.221478,N.A,3919,Melbourne,"5 Stony Point Road, Crib Point VIC 3919, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,N.A,4.0,0,0,3,0,0,0
102,Camberwell Supercharger,-37.828606,145.05643,N.A,3126,Melbourne,"793 Burke Road , Camberwell, VIC, Australia, 3124",0.0,0.0,0.0,0.0,6.0,0,0.0,0.0,120.0,6.0,0,0,10,20,1,11
103,Burwood Brickworks,-37.848953,145.133898,N.A,3128,Melbourne,"70 Middleborough Road, Burwood East VIC 3151, Australia",4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,4.0,1,0,9,20,4,8
104,Shell Taylors Lakes,-37.69657,144.78212,N.A,3038,Melbourne,"Coles Express 410 Melton Highway, Taylors Lakes VIC 3038, Australia",0.0,0.0,4.0,4.0,0.0,0,0.0,0.0,350.0,8.0,2,0,4,20,4,6
105,Chelsea Swansea Road Car Park,-38.054795,145.115952,N.A,3196,Melbourne,"1 Swansea Rd, Chelsea 3196, Australia",0.0,0.0,4.0,4.0,0.0,0,0.0,0.0,50.065,8.0,1,0,9,20,1,3
106,Lonsdale St,-37.81137439,144.9633783,N.A,3000,Melbourne,"300 Lonsdale St, Melbourne VIC 3000, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,17,6,20,20,20,20
107,Cooroy,-26.418047,152.911429,Cooroy,4563,N.A,"Cooroy Railway Station, Cooroy QLD 4563, Australia",2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50,3.0,1,1,5,14,0,3
108,Springvale Library,-37.957007,145.153146,N.A,3171,Melbourne,"9 Hillcrest Grove, Springvale VIC 3171, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,0,0,7,20,6,20
109,Lonsdale St,-37.8130787,144.9582143,N.A,3000,Melbourne,"460 Lonsdale St, Melbourne VIC 3000, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,20,3,18,20,20,20
110,Chargefox Charging Station,-36.63115799635183, 142.22291915619667,Horsham,3402,N.A,126 Baillie St,0.0,,1.0,1.0,0.0,,,,,,0,0,0,0,0,0
111,Hartley's Crocodile Adventures,-16.6597114, 145.5663743,Wangetti,N.A,N.A,"Captain Cook Hwy, Wangetti QLD 4871, Australia",2.0,,,,,,,,7,,1,0,1,0,0,0
112,Chelsea Swansea Road Car Park,-38.05485257,145.1166042,N.A,3196,Melbourne,"1 Swansea Rd, Chelsea 3196, Australia",,,2.0,2.0,,,,,,,1,0,9,20,1,3
113,Flinders Ln,-37.81861176,144.9586537,N.A,3000,Melbourne,"450 Flinders Ln, Melbourne VIC 3000, Australia",10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,10.0,20,3,15,20,20,20
114,AWM Greentech Geelong,-38.163929,144.411376,N.A,3224,N.A,"252-256 Portarlington Rd, Moolap, Victoria 3224",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,0,0,0,11,0,1
115,Bayside City Council,-37.959394,145.017704,N.A,3191,Melbourne,"76 Royal Ave, Sandringham VIC 3191, Australia",0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50.0,2.0,2,1,13,20,0,3
116,North Drive Office Complex,-37.909599,145.062347,N.A,3165,Melbourne,"236 E Boundary Rd, Bentleigh East VIC 3165, Australia",0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,N.A,1.0,0,1,13,20,0,4
117,Holiday Inn Express Melbourne Southbank,-37.821895,144.966652,N.A,3006,Melbourne,"35-47 City Rd, Southbank VIC 3006, Australia",9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,9.0,16,4,16,20,20,20
